ATCOCode,Node
627003010010,6582
627003010008,6590
627003000385,6162
627002040005,6614
627003010040,6593
627003010030,6585
627003010025,6584
627003010020,6594
627003010090,6399
627003010080,6437
627003010070,6190
627003010065,6187
627003010460,6148
627003010450,6126
627003010440,6178
627003010430,6122
627003020008,6590
627003010510,6161
627003010490,6132
627003010470,6187
627003020030,6585
627003020025,6584
627003020020,6594
627003020010,6582
627003020075,6194
627003020070,6190
627003020050,6580
627003020040,6593
627003010310,6162
627003010290,6300
627003010270,6318
627003010260,6377
627003010350,6165
627003010340,6142
627003010330,6120
627003010320,6162
627003010380,6162
627003010370,6125
627003010360,6350
627003010355,6166
627003010420,6119
627003010410,6127
627003010400,6129
627003010390,6117
627003020290,6300
627003020270,6318
627003020250,6388
627003020240,6389
627003020330,6120
627003020320,6162
627003020310,6162
627003020295,6372
627003020370,6125
627003020360,6350
627003020355,6166
627003020350,6165
627003020410,6120
627003020400,6129
627003020390,6135
627003020380,6162
627003020110,6421
627003020100,6410
627003020090,6399
627003020080,6419
627003020150,6377
627003020140,6376
627003020130,6401
627003020120,6423
627003020190,6381
627003020180,6380
627003020170,6396
627003020160,6395
627003020230,6390
627003020220,6375
627003020210,6376
627003020200,6375
627070000969,5956
627070000913,6841
627070000836,7023
627070000797,6256
627070000981,6773
627070000979,6272
627070000978,6272
627070000974,6086
627070001013,6224
627070001012,6224
627070000984,5885
627070000983,5885
627070001052,6067
627070001051,6081
627070001049,6035
627070001048,6035
627070000709,6132
627070000702,6048
627070000700,6048
627070000695,5956
627070000726,6759
627070000712,6161
627070000711,6161
627070000710,6132
627070000744,6676
627070000729,6230
627070000728,6230
627070000727,6759
627070000796,6256
627070000787,7023
627070000751,6300
627070000750,6300
627070001225,6003
627070001224,6003
627070001223,6003
627070001222,6003
627070001242,6661
627070001240,6729
627070001239,6729
627070001231,6295
627070001248,6841
627070001245,6841
627070001244,6841
627070001243,6661
627070001252,6578
627070001251,6841
627070001250,7023
627070001249,6841
627070001056,6033
627070001055,6033
627070001054,6033
627070001053,6056
627070001060,6048
627070001059,6037
627070001058,6033
627070001057,6033
627070001140,56984
627070001138,56984
627070001135,56984
627070001134,56984
627070001206,6577
627070001205,6577
627070001190,6899
627070001189,6899
6280000018,7465
6280000017,7465
6280000016,7561
6280000015,7479
6280000022,7464
6280000021,7464
6280000020,7455
6280000019,7456
6280000026,7312
6280000025,7229
6280000024,7475
6280000023,7453
6280000030,7431
6280000029,7386
6280000028,7381
6280000027,7104
6280000002,7495
6280000001,7650
627070001254,6659
627070001253,6578
6280000006,7937
6280000005,7937
6280000004,7940
6280000003,7488
6280000010,7435
6280000009,7381
6280000008,7386
6280000007,7580
6280000014,7472
6280000013,7510
6280000012,7387
6280000011,7431
6280000051,7696
6280000050,7663
6280000049,7662
6280000048,7159
6280000055,7683
6280000054,7695
6280000053,7695
6280000052,7663
6280000059,7636
6280000058,7087
6280000057,7966
6280000056,7698
6280000063,7980
6280000062,7980
6280000061,7409
6280000060,7982
6280000034,7385
6280000033,7087
6280000032,7087
6280000031,7435
6280000039,7151
6280000038,7081
6280000037,7177
6280000036,7185
6280000043,7254
6280000042,7146
6280000041,7173
6280000040,7083
6280000047,7149
6280000046,7147
6280000045,7577
6280000044,7820
627033109,6195
627033107,6195
627033105,6455
627033103,6455
627033117,6467
627033115,6467
627033113,6467
627033111,6467
627033125,6479
627033123,6479
627033121,6467
627033119,6467
627033133,6476
627033131,6476
