SName,TIPLOC,Alpha,Data_Source,EASTING,NORTHING,Cube_Node
MOSSEND UP RECEPTION FLHH,MOSEUFH,0,MCA,274952,660830,888888
MOSSEND UP YARD,MOSEUPY,0,MCA,274952,660830,888888
MOSSEND WEST JN,MOSENDW,0,MCA,274490,660100,888888
MOSSEND WST 1 REPAIR POINT,MOSEUHS,0,MCA,274918,660976,888888
MOSSEND YARD (DRS),MOSEDRS,0,MCA,274793,660939,888888
MOSSLEY (GRTR MANCHESTER),MOSSLEY,MSL,MSN,397345,402024,999999
MOSSLEY HILL,MSLH,MSH,MSN,339249,387203,999999
MOSSPARK,MSSPARK,MPK,MSN,253099,663320,100192
MOSTON,MSTN,MSO,MSN,388756,402970,999999
MOSTYN DOCKS (EWS),MOSTYN,0,MCA,315664,380978,999999
MOSTYN DOCKS (FLINER),MOSTFLR,0,MCA,315671,380975,999999
MOSTYN SIG. MN15,MOSTN15,0,MCA,315474,381000,999999
MOSTYN SIG. MN21,MOSTN21,0,MCA,315223,381131,999999
MOSTYN SIGNAL BOX,MOSTSB,0,MCA,315373,381057,999999
MOTHERWELL,MOTHRWL,MTH,MSN,275009,657199,100261
MOTHERWELL BACK OF SHOPS,MOTHBOS,0,MCA,275009,657199,888888
MOTHERWELL BRIDGE SIDINGS,MOTHBRS,0,MCA,274573,658018,888888
MOTHERWELL DERBY C.S.,MOTHDCS,0XM,MCA,274758,657756,888888
MOTHERWELL FINDLAYS SDG,MOTHFDL,0,MCA,274975,657979,888888
MOTHERWELL LWR ISU (CE),MOTHCE,0,MCA,274695,657345,888888
MOTHERWELL REPAIR POINT,MOTHRPT,0,MCA,275009,657199,888888
MOTHERWELL SIG 374,MOTH374,0,MCA,275125,658378,888888
MOTHERWELL SIG M368,MOTH368,0,MCA,275162,658960,888888
MOTHERWELL SIG M372,MOTH372,0,MCA,275009,657199,888888
MOTHERWELL SIG M408,MOTH408,0,MCA,275086,656957,888888
MOTHERWELL SIGNAL M185,MOTH185,0,MCA,275009,657199,888888
MOTHERWELL SIGNAL M267,MOTH267,0,MCA,275009,657199,888888
MOTHERWELL SIGNAL M402,MOTH402,0,MCA,274866,657486,888888
MOTHERWELL SIGNAL M444,MOTH444,0,MCA,276234,656309,888888
MOTHERWELL ST GOODS LOOP,MOTHSGL,0,MCA,275062,657080,888888
MOTHERWELL T.M.D.,MOTHTMD,0,MCA,274984,658087,888888
MOTHERWELL TMD (DRS),MOTHDRS,0,MCA,274758,657756,888888
MOTHERWELL U.G.L,MOTHUGL,0,MCA,276234,656309,888888
