ATCOCode,Node
090002590251,55471
090033062613,55511
090033062637,55518
090033062699,55518
090033062849,55518
090033062895,55518
090033063913,55518
090033071538,55487
090033071776,55494
090033062343,55518
090033062425,55511
090033062474,55511
090033062480,55511
090033062549,55518
090033062570,55511
090033011369,55492
090033011374,55492
090033011378,55492
090033011788,55492
090033011915,55492
090033012302,55492
090033021544,55494
090033022333,55494
090033061590,55518
090033061797,55518
090033061863,55518
090033061870,55518
090033061905,55518
090033061917,55518
090033062032,55511
090033062132,55518
090033062251,55518
090033062323,55518
090033101560,55495
090033101561,55495
090033101562,55495
090033101877,55495
090033102449,55495
090033102383,55495
090033102385,55496
090033102507,55495
090033102511,55495
090033102512,55496
090033102513,55495
090033102517,55495
090033102518,55495
090033102521,55495
090033102525,55496
090033102528,55495
090033102531,55495
090033102534,55495
090033102535,55494
090033102536,55495
090033102538,55495
090033102539,55495
090033102540,55495
090033102541,55496
090033102416,55497
090033102024,55494
090033102027,55495
090033102030,55495
090033102033,55495
090033101907,55495
090033101931,55495
090033101932,55494
090033101935,55494
090033101887,55495
090033101892,55495
090033101563,55495
090033101564,55495
090033101937,55495
090033101938,55495
090033101967,55494
090033102434,55495
090033102435,55495
090033102436,55495
090033102437,55495
090033102438,55496
090033102009,55496
090033102013,55496
090033102423,55494
090033102424,55495
090033102426,55495
090033102428,55495
090033102429,55495
090033102430,55497
090033102464,55495
090033102465,55495
090033102036,55495
090033102045,55495
090033102054,55496
090033101817,55495
090033101830,55495
090033101834,55496
090033101852,55494
090033101853,55495
090033101854,55495
090033102459,55497
090033102461,55495
090033102463,55496
090033102035,55494
090033101368,55495
090033101372,55495
090033101420,55495
090033101444,55495
090033101447,55495
090033101487,55495
090033101505,55495
090033101513,55495
090033102453,55495
090033102455,55496
090033102456,55494
090033101987,55496
090033101990,55495
090033101993,55497
090033101994,55494
090033101997,55497
090033102000,55495
090033102003,55495
090033102004,55495
090033102008,55494
090033102215,55495
090033102230,55495
090033102231,55495
090033102234,55495
090033102236,55495
090033102246,55494
090033102252,55495
090033102253,55495
090033102255,55495
090033102262,55495
090033102466,55496
090033101565,55495
090033101566,55495
090033102439,55495
090033102440,55497
090033102441,55494
090033072130,55494
090033072158,55494
090033101587,55495
090033101634,55495
090033101709,55495
090033101711,55495
090033101721,55495
090033101516,55495
090033101524,55495
090033101545,55496
090033101559,55495
090033102487,55495
090033102431,55497
090033102470,55494
090033102476,55494
090033102477,55495
090033102443,55495
090033102446,55495
090033102447,55496
090033102490,55494
090033102493,55495
090033102494,55495
090033102495,55495
090033102497,55496
090033102501,55495
090033102503,55495
090033102504,55495
090033102505,55495
090033102506,55496
090033102014,55495
090033102016,55495
090033102017,55495
090033072167,55494
090033072199,55494
090033072276,55494
090033072277,55488
090033072310,55494
090033072390,55494
090033082823,55520
090033101367,55495
090033102468,55495
090033102469,55496
090033102381,55495
090033102450,55495
090033102451,55497
090033101979,55495
090033101980,55495
090033101983,55496
090033102457,55495
090033102458,55494
090033102263,55495
090033102280,55495
090033102282,55495
090033102293,55496
090033102313,55496
090033102337,55495
090033102345,55495
090033102379,55495
090033102380,55495
090033102478,55497
090033102479,55495
090033102481,55494
090033102483,55495
090033102484,55497
090033102433,55495
090033101971,55496
090033101978,55495
090033102187,55496
090033102189,55495
090033102190,55496
090033102021,55496
090033102023,55495
090033101882,55495
090033101884,55495
090033102087,55495
090033102092,55496
090033102097,55495
090033102171,55496
090033102180,55494
090033102386,55495
090033102397,55495
090033102412,55495
090033102415,55495
090033102489,55496
090033101856,55495
090033101857,55496
090033102485,55496
090033101722,55495
090033101723,55495
090033101743,55495
090033101745,55495
090033101773,55495
090033101775,55495
090033101781,55495
090033101782,55495
090033102486,55495
090033152796,55487
090033152797,55487
090033171849,55518
090033102550,55495
090033102553,55495
090033360789,55497
090033360790,55497
090033360791,55497
090033360792,55497
090033361804,55497
090033102665,55495
090033102667,55495
090033102670,55495
090033102676,55495
090033102679,55495
090033102681,55495
090033102682,55495
090033102688,55495
090033102689,55495
090033102691,55495
090033102693,55495
090033102695,55495
090033152208,55487
090033152213,55487
090033152643,55487
090033152645,55487
090033152707,55487
090033361866,55495
090033362012,55497
090033102697,55495
090033442872,55496
090033442878,55496
090033102605,55495
090033102607,55495
090033102610,55495
090033102611,55495
090033102616,55495
090033102617,55497
090033102622,55495
090033102623,55495
090033102629,55495
090033102631,55497
090033102632,55495
090033102634,55495
090033102635,55495
090033102779,55495
090033102781,55495
090033102784,55495
090033102647,55495
090033102736,55494
090033102755,55496
090033102756,55495
090033102760,55496
090033102776,55497
090033102582,55496
090033102584,55495
090033102586,55495
090033102588,55495
090033102592,55497
090033191690,55511
090033191927,55511
090033191974,55511
090033110782,55496
090033110783,55496
090033110784,55497
090033102593,55495
090033102596,55495
090033102597,55495
090033102598,55497
090033102601,55495
090033102602,55496
090033110785,55497
090033110786,55497
090033110787,55497
090033112359,55518
090033112737,55518
090033121596,55495
090033121597,55495
090033221691,55520
090033221803,55520
090033442751,55496
090033442766,55496
090033442824,55496
090033360788,55497
090033442850,55496
090033102641,55495
090033102642,55495
090033222077,55520
090033232164,55494
090033122953,55495
090033151450,55487
090033151514,55487
090033151659,55487
090033151660,55487
090033372533,55494
090033372715,55494
090033401812,55520
090033411556,55520
090033421794,55494
090033422791,55494
090033441417,55496
090033441700,55496
090033441784,55496
090033441813,55496
090033441901,55496
090033442060,55496
090033442061,55496
090033442078,55496
090033442136,55496
090033442178,55496
090033102648,55495
090033102554,55497
090033102555,55495
090033102556,55495
090033102558,55495
090033102562,55496
090033102571,55496
090033102574,55497
090033102575,55496
090033102577,55496
090033102580,55496
090033151871,55487
090033151881,55487
090033151897,55487
090033151903,55487
090033152037,55487
090033152050,55487
090033152205,55487
090033192102,55511
090033221930,55520
090033102804,55495
090033102821,55495
090033102822,55494
090033102831,55495
090033102856,55496
090033102861,55495
090033102891,55495
090033103002,55495
090033103003,55495
090033110769,55495
090033110770,55495
090033110772,55495
090033110773,55495
090033110776,55495
090033110777,55495
090033110778,55495
090033110779,55495
090033110780,55496
090033110781,55496
090033102636,55495
090033102638,55495
090033121643,55495
090033121644,55495
090033102654,55495
090033102657,55495
090033102659,55495
090033102664,55495
090033442286,55496
090033442296,55496
090033442330,55496
090033442336,55496
090033442896,55496
090033442951,55496
090033192133,55496
090033192165,55511
090033192341,55511
090033192888,55496
